评论,正向指数,负向指数,情感分类
"('遇到水军不要怼，等着他们来威胁你，然后你反手一个举报，天下太平，如果骚扰你的过多，就设置一下，比如拒收私信等等。最重要的是不要被水军激怒套出你的个人信息，一旦泄露，等待你的是无尽的骚扰电话还有人肉，具体参考类似于子沐的经历。所以，无论视频里面，私信评论里面都不要透露你的任何个人信息，有的人还会装作友军套问你的信息。让你帮他做视频，说啥做好的视频发到她邮箱啊，骗你说她是受害者或者志愿者让你加群啊之类之类的，或者故意给你透露一个水军群，然后你进去就会被窥屏被黑查到你的ip地址之类之类的，凡事多留个心眼，一问摇头三不知是最好的应对方式，做好以上全部，相信你会比较安全，希望我的建议对大家有用。转载',)","('0.0%',)","('100.0%',)",负向
"('还袭击 麻痹不要脸 就该揭发这种事 让这些东西们好好看看自己干过什么 干 奥利给',)","('0.01%',)","('99.99%',)",负向
"('加油！当代鲁迅！豫章书院的事情我们都有在转发！',)","('99.95%',)","('0.05%',)",负向
"('星星之火可以燎原，只要我们不放弃，就一定可以',)","('99.975%',)","('0.025%',)",负向
"('顶上去',)","('96.859%',)","('3.142%',)",负向
"('支持，转发',)","('99.989%',)","('0.011%',)",负向
"('很害怕，受了伤，唯一的庇护所就是家了，可家人却还把孩子往火坑里推…',)","('0.726%',)","('99.274%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('加油啊',)","('99.976%',)","('0.024%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('温柔加油！！！',)","('99.992%',)","('0.008%',)",负向
"('不会忘的！！！',)","('94.558%',)","('5.442%',)",负向
"('加油加油！！！',)","('99.996%',)","('0.004%',)",负向
"('永不遗忘！！！！',)","('30.126%',)","('69.874%',)",负向
"('致敬',)","('99.994%',)","('0.006%',)",负向
"('[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]',)","('99.977%',)","('0.023%',)",负向
"('我刚刚看到弹幕里有人说“xzf去举报啊”，你在这个视频里面说有什么意义？刷存在感？？？',)","('0.023%',)","('99.977%',)",负向
"('豫章书院事件从来没有结束[奋斗][奋斗]',)","('43.187%',)","('56.813%',)",负向
"('我做不了什么，已关注三连',)","('28.834%',)","('71.166%',)",负向
"('@央视新闻',)","('54.085%',)","('45.915%',)",负向
"('吴军豹现在入狱了没有？',)","('10.417%',)","('89.583%',)",负向
"('那些敢于把孩子送进去的家长，本身观念就很固化，也许其中小部分会有质疑，想要尝试了解的家长，却也多数被“假家长”托们所迷惑了……',)","('0.095%',)","('99.905%',)",负向
"('温柔牛逼',)","('99.812%',)","('0.188%',)",负向
"('为什么会有这种恶人，这么令人作呕的。他们到底受的是什么教育？什么经历过经历把人弄成这样？',)","('0.0%',)","('100.0%',)",负向
"('有个不熟的同学，家里有钱不怎么来上课，刚刚晚修老师来和我们说她被送到成都的学校去了，最近一定很痛苦。因为不听话老师不怎么喜欢她，去的学校说是早上直接来三个人把她绑去的，到下午五点才打电话给家长说是到地方了。应该是前两天的事情。',)","('1.42%',)","('98.58%',)",负向
"('你们班里现在怎样了，如果发生在我们班，绝对的，全班冲出去了',)","('5.128%',)","('94.872%',)",负向
"('Up主，你把重要信息发布到深网上把！在万维网上发布太危险了！',)","('1.1%',)","('98.9%',)",负向
"('有警惕意识是好的，但是要反抗，不能畏惧，一味地害怕是没有用的',)","('0.447%',)","('99.553%',)",负向
"('主要问题是视频里除了讲述，可用信息太少了，很难让路人信服啊，导致只要有人一说，节奏就被带走了。',)","('0.388%',)","('99.612%',)",负向
"('狗家长',)","('0.062%',)","('99.938%',)",负向
"('@杨红樱',)","('78.631%',)","('21.369%',)",负向
"('那些藏在公立学校的杨永信该怎么处理，可能还是没办法',)","('0.333%',)","('99.667%',)",负向
"('我什么也做不了，没能力，但我看到关于豫章书院的话题都会点进来，顶一下，加油！',)","('99.386%',)","('0.614%',)",负向
"('加油，干他就完了[鸡腿]',)","('99.022%',)","('0.978%',)",负向
"('温柔，我们一定会为你加油！子沐，我们会记住你的。志愿者们，加油！',)","('99.999%',)","('0.001%',)",负向
"('up加油祝他们早日司马',)","('94.943%',)","('5.057%',)",负向
"('加油＾０＾~',)","('99.828%',)","('0.172%',)",负向
"('即使世界昏天暗地，不影响我们追逐光明',)","('97.582%',)","('2.418%',)",负向
"('这事必须要有个结果！',)","('0.222%',)","('99.778%',)",负向
"('我好像在前几年在今日说法上看到过豫章书院',)","('92.674%',)","('7.326%',)",负向
"('所以说这件事情也没有了，水花这件事情解决了吗？',)","('0.042%',)","('99.958%',)",负向
"('这事情也不小了吧，真的是一点水花都没有。果然是黑暗的资本主义社会',)","('0.031%',)","('99.969%',)",负向
"('27.1万弹幕给清了这么多？',)","('3.696%',)","('96.304%',)",负向
"('现在豫章书院怎么样了？',)","('14.865%',)","('85.135%',)",负向
"('顶顶顶！',)","('99.861%',)","('0.139%',)",负向
"('冲冲冲',)","('91.498%',)","('8.502%',)",负向
"('太恐怖了。。。',)","('0.028%',)","('99.972%',)",负向
"('一定要加油，正义会来的[加油]',)","('99.995%',)","('0.005%',)",负向
"('顶上去',)","('96.859%',)","('3.142%',)",负向
"('加油!!!',)","('99.996%',)","('0.004%',)",负向
"('加油，温柔的你们不能输[大哭]',)","('99.996%',)","('0.004%',)",负向
"('加油啊温柔',)","('99.992%',)","('0.008%',)",负向
"('我很抱歉 我除了能帮顶一下热度我没有其他的能力',)","('74.708%',)","('25.292%',)",负向
"('干的漂亮',)","('99.992%',)","('0.008%',)",负向
"('温柔加油.大家加油',)","('99.991%',)","('0.009%',)",负向
"('厚葬[doge]',)","('99.543%',)","('0.457%',)",负向
"('谢谢[爱心]',)","('99.997%',)","('0.003%',)",负向
"('加油!',)","('99.998%',)","('0.002%',)",负向
"('加油！总有人还在！',)","('99.974%',)","('0.026%',)",负向
"('现在事情怎么样了',)","('2.414%',)","('97.586%',)",负向
"('加油加油加油加油!!!!!',)","('99.996%',)","('0.004%',)",负向
"('加油，我们都知道，一滴滴水聚成海浪，足以吞噬黑暗！',)","('99.848%',)","('0.152%',)",负向
"('什么叫何必呢？要是不揭发，又会有多少人还在受害？别再说寒心的话了',)","('0.003%',)","('99.997%',)",负向
"('我想对那些志愿者说:对不起，正义迟到了！但是请相信他不会缺席。中国的法律在不断的完善，黑暗的角落必将暴露在阳光下。谢谢你们的付出。最后，我可能帮不到你们，但是我愿给个三连，以表敬意！！！支持你们，加油！！！',)","('99.955%',)","('0.045%',)",负向
"('请来观看的不要开玩笑，这是很严肃的事情，不要刷什么钉钉[笑]',)","('1.647%',)","('98.353%',)",负向
"('up小心啊！',)","('12.486%',)","('87.514%',)",负向
"('只有没有的父母才会把孩子送到这种学校，如果没有父母的支持，这种学校根本建不起来，父母也应该想一下自己该不该把孩子送去给别人管教，如果换一个想法，等你老了你的孩子把你送进养老院(服务态度还贼不好的那种)，你会怎么想？？',)","('0.013%',)","('99.987%',)",负向
"('浙江省七选三高考泄题热搜也被压了下去',)","('84.607%',)","('15.393%',)",负向
"('热度真的不够，我现在才知道，太可怕了，wb上讨论度那么高，结果没怎么上热搜。太可怕了，up太善良了',)","('0.083%',)","('99.917%',)",负向
"('可豫章书院的还存在，他又重开了。',)","('42.849%',)","('57.151%',)",负向
"('迟来的正义辛苦你们了！大英雄！',)","('99.349%',)","('0.651%',)",负向
"('中国家长不能就这样混过去，他们要被永远钉在历史的墙上警示后人！',)","('0.208%',)","('99.792%',)",负向
"('真的谢谢您！',)","('98.321%',)","('1.679%',)",负向
"('也有可能我妈不知道安全电压吧[呆]',)","('4.162%',)","('95.838%',)",负向
"('我有一个想法，大家也看到了关于豫章修身书院的热度一直被各大平台往下压。但是，我们可不可以主动的打破隔阂。[微笑]   要知道，许多人因为工作或者没有精力的原因所以对温柔揭发的黑色产业链并不感兴趣。所以我们要主动出击，把复杂的事情变得更加清楚直白，甚至娱乐化。有没有有才能的朋友，我们一起抄起热度。① 有绘画天赋的同学可以做一副豫章书院修身形象的图画。更加直白抽象的图画更有利于传播。概念，豫章修身书院的暴行。男人掌掴孩子，孩子跌倒在地。父亲十分生气。然后，图片空白豫章修身学院，替家长教育孩子。联想一下，我们揭开伤口，以更加伤痛的形式娱乐大众，只要决定有趣或者反思，我们的目的就达到了。②绘画Q萌的头像或者表情包。就以豫章修身学院的种种故事为模板。妈妈在爱我一次。女孩在空旷的小黑屋的狭小窗口看到母亲的脸庞。眼睛红肿流泪，最好空白有豫章修身学院的名义。有绘画才能的同学们，真的可以拿豫章修身学院的事情为题材，我们扩大影响力，不管是惊悚还是温情亦或者悬念为题材的头像，表情包，四格动漫。③豫章修身学院一定会花钱请水军或者撤热搜，压住事情的进一步扩散。那好，我们自发的为豫章修身学院当水军。这年头反串黑谁不会，我有一个自爆流的念头，与其让对手出阴招，不如我们自己假装黑帮助豫章修身学院说话的人。[无语]比如，我十分讨厌你们假装正义，一个个没有半点能耐，豫章修身学院并没有做错，打是亲骂是爱，棍棒底下出孝子，吴军豹和教官大人也是为学生好。教育学生打人怎么算打人呢。PS 事实上，我也并不想自己恶心自己，但是可以想象到接下来舆论扩散，相关的吴等人一定会花钱买水军扭曲事实。小伙伴们，那我们就自己来做自来水，这年头高级黑我们谁不会做，阴阳人说怪话，只要热度起来我们目标就实现了。④温柔和其他UP能做的都做了。我自己也只能发发评论，点赞三连，我个人没有才能也不会写文章，但是我相信B站一定会有更有能力的朋友们关注到温柔，了解豫章修身学院黑暗的面目。类似于舆论扩散娱乐大众的问题就交给你们了，让我们开动脑筋，打破僵持的局面，一起护主热度的火苗。加油！[支持]【转】【复制粘贴，建议大家行动起来】',)","('93.398%',)","('6.602%',)",负向
